Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
17,Chris Olave,NOR,23,WR,16,11,138,87,63.0%,1123,12.9,5,57,53.6,51,8.1,5.4,70.2,0,OlavCh00
18,Sam LaPorta*,DET,22,TE,17,14,120,86,71.7%,889,10.3,10,48,55.8,48,7.4,5.1,52.3,0,LaPoSa01
19,Chris Godwin,TAM,27,WR,17,17,130,83,63.8%,1024,12.3,2,53,50.0,47,7.9,4.9,60.2,0,GodwCh00
20,Trey McBride,ARI,24,TE,17,12,106,81,76.4%,825,10.2,3,42,57.5,38,7.8,4.8,48.5,1,McBrTr01
21,David Njoku*,CLE,27,TE,16,16,123,81,65.9%,882,10.9,6,35,43.9,43,7.2,5.1,55.1,2,NjokDa00
22,DeVonta Smith,PHI,25,WR,16,16,112,81,72.3%,1066,13.2,7,47,55.4,63,9.5,5.1,66.6,1,SmitDe07
23,Nico Collins,HOU,24,WR,15,10,109,80,73.4%,1297,16.2,8,53,61.5,75,11.9,5.3,86.5,1,CollNi00
24,Mike Evans*,TAM,30,WR,17,17,136,79,58.1%,1255,15.9,13,54,53.7,75,9.2,4.6,73.8,0,EvanMi00
25,Tyler Lockett,SEA,31,WR,17,17,122,79,64.8%,894,11.3,5,47,58.2,37,7.3,4.6,52.6,0,LockTy00
26,Terry McLaurin,WAS,28,WR,17,17,132,79,59.8%,1002,12.7,4,47,49.2,48,7.6,4.6,58.9,0,McLaTe00
27,Rashee Rice,KAN,23,WR,16,8,102,79,77.5%,938,11.9,7,44,61.8,67,9.2,4.9,58.6,2,RiceRa01
